pmid,year,n_tokens,n_unique_unigrams,n_unique_bigrams,n_mesh,n_mesh_pairs,n_new_unigrams,n_new_bigrams,n_new_mesh,n_new_mesh_pairs,share_new_unigrams,share_new_bigrams,share_new_mesh,share_new_mesh_pairs,examples_new_unigrams,examples_new_bigrams,examples_new_mesh
27345792,2016,76,60,69,19,171,19,63,9,150,0.31666666666666665,0.9130434782608695,0.47368421052631576,0.8771929824561403,co-electroporation; contained; episomal; fibroblasts; germ; hairpin; hklf4; hl-myc,carrying l150p; cells ipscs; co-electroporation episomal; contained specific; containing hoct4; differentiation potential; disease ipscs; displayed vitro,Cell Differentiation; Cellular Reprogramming; DNA Mutational Analysis; Induced Pluripotent Stem Cells; Karyotype
27305963,2016,161,121,155,16,120,23,143,4,93,0.19008264462809918,0.9225806451612903,0.25,0.775,apoptosis-mediating; attracted; born; co-crystal; crystal; dock; e-pharmacophore; e-pharmacophore-based,alleviates memory; among lead1; antagonist gsk-3; apoptosis-mediating production; area comparing; attention recent; attracted significant; based energy,"Crystallography, X-Ray; Glycogen Synthase Kinase 3 beta; Small Molecule Libraries; User-Computer Interface"
27304664,2016,8,8,7,4,6,1,5,0,1,0.125,0.7142857142857143,0.0,0.16666666666666666,big,big decision; decision living; early onset; living early; onset familial,
27215014,2015,153,117,144,7,21,11,126,1,6,0.09401709401709402,0.875,0.14285714285714285,0.2857142857142857,epidemiologically; extends; fatigue; inexpensive; mic; olfaction; olfactory; physiologically,already severely; areas extends; available methods; background biological; basis olfaction; behavioral olfactory; biological characteristics; brain already,Olfaction Disorders
27168412,2015,105,79,100,18,153,14,83,8,113,0.17721518987341772,0.83,0.4444444444444444,0.738562091503268,al-treated; aluminium; intraperitoneal; looked; ltp; ltps; neuropathology; pathologic,according findings; administration low; administration several; al-treated control; al-treated rats; aluminium rat; aluminium resembles; amplitude according,"Aluminum; Electrophysiological Phenomena; Excitatory Postsynaptic Potentials; Immunohistochemistry; Injections, Intraperitoneal"
27148797,2016,171,94,140,19,171,8,107,0,39,0.0851063829787234,0.7642857142857142,0.0,0.22807017543859648,in-laws; income; lod; married; revision; son; strain; unmarried,according diagnostic; adjusted lod; adjusted study; age caregivers; although burden; analyzed significant; assessed zarit; associated poor,
27133418,2016,156,119,146,4,6,33,134,1,3,0.2773109243697479,0.9178082191780822,0.25,0.5,antiinflammatory; blunt; coa; coenzyme; deplete; farnesyl; foods; formulations,activities tocotrienols; activity tocotrienols; amyloid generation; antiinflammatory activity; approach prevention; binding protein-2; bioavailability offer; block processing,Tocotrienols
27125025,2015,86,66,81,9,36,7,71,0,6,0.10606060606060606,0.8765432098765432,0.0,0.16666666666666666,alpha7-type; bulbectomized; intranasal; nonstructural; prion; repeating; x-ray,ability improve; according x-ray; acetylcholine receptor; activity improving; activity peptides; administration without; alpha7-type prion; beta-amyloid cell,
27099889,2015,1,1,0,5,10,1,0,0,0,1.0,0.0,0.0,0.0,editorial,,
27089691,2015,3,3,2,3,3,0,0,0,0,0.0,0.0,0.0,0.0,,,
27061321,2016,123,111,120,15,105,8,100,2,74,0.07207207207207207,0.8333333333333334,0.13333333333333333,0.7047619047619048,achievements; cover; deciphering; genomics; heritability; proteomics; realized; upsetting,ability meet; accurate differential; achievements deciphering; affected neurodegeneration; affects younger; although early; available clinicians; biochemical pathways,"Electrophoresis, Gel, Two-Dimensional; Tandem Mass Spectrometry"
27044136,2015,101,79,96,9,36,9,84,1,18,0.11392405063291139,0.875,0.1111111111111111,0.5,enriched; ethanolamine; glial; myth; plasmalogens; pls; plsetn; safeguard,activation focusing; activation induced; ageing neuroinflammation; ageing stress; ameliorate microglial; bioactive lipids; brain first; brain now,Plasminogen
27034741,2016,36,28,34,7,21,1,27,1,6,0.03571428571428571,0.7941176470588235,0.14285714285714285,0.2857142857142857,plant-based,age-related neurodegenerative; amyloid metabolism; carefully detail; complex age-related; compounds alzheimer; compounds therapeutics; consider role; consider various,"Drug Evaluation, Preclinical"
27000306,2016,102,60,80,13,78,8,62,1,21,0.13333333333333333,0.775,0.07692307692307693,0.2692307692307692,antipsychotic-na; forty; hallucination; k-npi; misidentification; non-psychosis; subtypes; vbm,acquired scanner; analysis misidentification; analyzed voxel-based; antipsychotic-na mild; assessed cognitive; assessed delusion; associated less; associated severe,Gray Matter
26985502,2015,4,4,3,12,66,0,3,2,29,0.0,1.0,0.16666666666666666,0.4393939393939394,,dementia diseases; multidimensional prevention; prevention dementia,Combined Modality Therapy; Feeding Behavior
26985473,2015,2,2,1,7,21,0,1,2,11,0.0,1.0,0.2857142857142857,0.5238095238095238,,author response,Immunoglobulin G; Tumor Necrosis Factor-alpha
26981556,2016,132,105,128,7,21,28,117,2,13,0.26666666666666666,0.9140625,0.2857142857142857,0.6190476190476191,authorities; coi; coi-estimates; computable; cost-of-illness; demographic; derives; discounted,ad-related care; ad-related prevalence; aging workforce; analyzed simulated; annual predicted; approaches cost-of-illness; authorities target; benefit effective,"Gross Domestic Product; Models, Economic"
26973100,2016,101,82,97,16,120,13,86,3,68,0.15853658536585366,0.8865979381443299,0.1875,0.5666666666666667,accumulates; damages; fibrils-induced; glial; ht1a; mppf; neurogenesis; paralleled,accumulates suggesting; amyloid-beta fibrils; astrocytes showed; autoradiography revealed; axonal sprouting; brain evidence; brains days; caused pathophysiological,"Immunohistochemistry; Injections; Receptors, Serotonin, 5-HT1"
26964327,2015,53,41,49,7,21,3,37,0,5,0.07317073170731707,0.7551020408163265,0.0,0.23809523809523808,concentrated; endanger; intensified,aging problem; analyzed prospect; assessment alzheimer; assessment means; becoming significant; concentrated research; current situation; dementia senile,
26964294,2015,138,87,124,10,45,12,102,2,27,0.13793103448275862,0.8225806451612904,0.2,0.6,alpha-band; channels; coefficients; converted; eyes-closed; full-band; graphs; matrices,abnormal changes; alpha-band data; alpha-band resting-state; alpha-band threshold; appropriate treatments; associated abnormal; based synchronization; binary graphs,Probability; Rest
26953371,2015,41,35,37,12,66,9,36,5,51,0.2571428571428571,0.972972972972973,0.4166666666666667,0.7727272727272727,analgesics; aspirin; disadvantages; interventional; meant; multimorbid; nsaid; opioids,address relevant; advantages disadvantages; analgesics highlighted; article meant; aspirin advantages; clinical questions; disadvantages frequently; frequently prescribed,"Analgesics; Analgesics, Opioid; Drug Interactions; Nerve Block; Pain Management"
26947052,2016,158,110,148,17,136,16,122,0,31,0.14545454545454545,0.8243243243243243,0.0,0.22794117647058823,ancestry; ashkenazi; copies; demographic; gwas; implementing; integrator; israeli,addition apoe; additional potential; affected sample; allele genotype; allele genotypes; although preliminary; among ashkenazi; among t2d,
26923416,2016,104,73,91,17,136,18,80,4,86,0.2465753424657534,0.8791208791208791,0.23529411764705882,0.6323529411764706,apes; aquariums-accredited; beringei; captive; captivity; coiled; disease-type; gorilla,age-related events; age-related increase; age-related pathologies; aged great; aged wild; alzheimer disease-type; american zoos; animals demonstrate,"Animals, Wild; Animals, Zoo; Gorilla gorilla; Oligodendroglia"
26923415,2016,112,84,107,16,120,15,90,2,66,0.17857142857142858,0.8411214953271028,0.125,0.55,doxycycline; hallmark; multiparametric; pathologic; pathology-a; proton; rtg4510; served,accumulation suppression; altered doxycycline; amide proton; atrophy discernible; atrophy treated; differences amide; different time; discernible months,Doxycycline; Tauopathies
26923413,2016,157,92,129,20,190,10,103,1,74,0.10869565217391304,0.7984496124031008,0.05,0.3894736842105263,compromises; cortices; logical; neurobiologic; ranging; sizes; thinner; val,adas-cog semantic; addition effect; aging genetic; aging mild; apoe gene; assessments carried; bdnf genotype; bdnf met,Heterozygote
26923412,2016,110,77,97,9,36,17,92,2,15,0.22077922077922077,0.9484536082474226,0.2222222222222222,0.4166666666666667,auditory; discretely; factorial; fmri; governing; hubs; insula; interface,accompany alzheimer; addressed sparse; age-matched individuals; altered brain; analysis accompany; analysis suggest; associated loss; auditory location,Pitch Perception; Spatial Processing
26923411,2016,98,72,92,14,91,9,79,2,50,0.125,0.8586956521739131,0.14285714285714285,0.5494505494505495,assistant; eligible; icf; icfs; partner; recruitment; requirement; scan,amyloid eligible; amyloid positron; amyloid status; assistant found; barrier recruitment; biomarker disclosure; biomarker enrollment; blinded enrollment,Amyloidogenic Proteins; Disclosure
26923405,2016,127,90,117,20,190,16,101,4,145,0.17777777777777778,0.8632478632478633,0.2,0.7631578947368421,acetyltransferase; ameliorative; anomalies; app-ctf; bace1; blocked; blocks; cleaving,abnormalities although; abnormalities cholinergic; acetyltransferase chat; ad-related pathological; additional potential; age-related endosome; allele blocked; alter peptide,"Aspartic Acid Endopeptidases; Gene Deletion; Mice, Inbred C3H; Septal Nuclei"
26923404,2016,120,88,108,15,105,16,92,2,39,0.18181818181818182,0.8518518518518519,0.13333333333333333,0.37142857142857144,abca7; array; beadchip; explicit; hits; illumina; map-wise; ms4a6a,abca7 ms4a6a; abca7 peripheral; abca7 rs3764650; array data; array illumina; associated cortical; associations cortical; associations top,ATP-Binding Cassette Transporters; Genetic Variation
26923399,2016,101,83,100,19,171,14,87,6,121,0.1686746987951807,0.87,0.3157894736842105,0.7076023391812866,acetoacetate; beta-hydroxybutyrate; blocked; earliest; epilepsy; hallmark; ketone; ketones,ability symptomatic; accumulation rescued; acetoacetate reported; activity epilepsy; administration ketones; alzheimer model; amyloid accumulation; amyloid entry,"3-Hydroxybutyric Acid; Acetoacetates; Depression, Chemical; Ketone Bodies; NADH Dehydrogenase"
26923398,2016,178,99,145,13,78,14,124,1,35,0.1414141414141414,0.8551724137931035,0.07692307692307693,0.44871794871794873,amylin; clamp; counterbalanced; crosses; disposal; homa-ir; homeostatic; hyperinsulinemic,additional task; administered counterbalanced; age body; although insulin; although role; amylin difference; assessed hyperinsulinemic-euglycemic; assessed insulin,Insulin Resistance
26920688,2016,164,110,150,8,28,19,132,1,12,0.17272727272727273,0.88,0.125,0.42857142857142855,aggravate; channel; channelopathies; channels; convergent; defective; dysfunctioning; eliciting,aberrant ion; age-related disorders; aggravate disease; altered function; associated factors; behind ndds; behind neurological; caused due,Ion Channels
26912076,2015,43,36,40,4,6,13,40,0,0,0.3611111111111111,1.0,0.0,0.0,achievements; bio-based; biotechnologies; biotechnology; brings; editorial; exiting; readers,achievements healthcare; actual problems; addressing society; always brings; articles spontaneous; better utilization; bio-based economy; biotechnologies readers,
26904853,2015,72,49,67,8,28,3,48,1,14,0.061224489795918366,0.7164179104477612,0.125,0.5,alternations; enhancer; leptin,accompanied alternations; aging accompanied; aging brain; aging mild; aging normal; alternations brain; associated normal; cognition older,Leptin
26900568,2016,151,108,136,11,55,17,119,2,25,0.1574074074074074,0.875,0.18181818181818182,0.45454545454545453,accordance; apply; correlating; default; elastography; fmri; gain; mre,accordance known; across alzheimer; additional analysis; altered functional; apply recently; areas correlates; associated altered; biomarker variety,Elasticity Imaging Techniques; Neural Pathways
26892326,2016,93,67,89,16,120,12,64,0,45,0.1791044776119403,0.7191011235955056,0.0,0.375,addendum; aid; antemortem; correctly; estimates; f18; fbp-pet; florbetapir,addendum analyzed; aid dementia; amyloid neuroimaging; analyzed baseline; antemortem even; antemortem patients; autopsy diagnosis; baseline clinical,
26884824,2015,139,77,112,25,300,24,100,7,191,0.3116883116883117,0.8928571428571429,0.28,0.6366666666666667,aca; allelotype; ata; desorption-ionization; hunan; kallikrein; kallikrein-kinin; kinin,aca tca; ace groups; ace rs4291; aimed determine; allelotype distributions; among distribution; amplification matrix-assisted; analysis confirmed,Heterozygote; Homozygote; Kallikreins; Kininogens; Peptidyl-Dipeptidase A
26882521,2015,8,8,7,3,3,1,6,0,0,0.125,0.8571428571428571,0.0,0.0,pharmacotherapies,brief pharmacotherapies; cochrane review; disturbances alzheimer; pharmacotherapies sleep; review brief; sleep disturbances,
26881039,2016,102,85,96,19,171,7,74,7,135,0.08235294117647059,0.7708333333333334,0.3684210526315789,0.7894736842105263,art; excitotoxicity; neurochemical; nitrogen; paraplegia; redox; spastic,actions neurodegenerative; aging reason; along inflammation; answer state; art redox; axonal damage; basal conditions; causing excitotoxicity,Central Nervous System; Ions; Metals; Oxygen; Oxygen Consumption
26878581,2015,101,85,100,7,21,9,92,1,9,0.10588235294117647,0.92,0.14285714285714285,0.42857142857142855,broadened; concurrently; elaborated; impedes; inside; peculiarities; propagation; tau-protein,action endogenous; agents considered; analyze issues; bases pathogenesis; basic mechanisms; becomes clear; beginning interaction; believed play,Prions
29374986,2018,81,60,76,11,55,10,67,1,16,0.16666666666666666,0.881578947368421,0.09090909090909091,0.2909090909090909,constructed; contentment; conversations; lifelong; lifestyles; line; meaningful; pride,able reason; activity research; alzheimer research; analyzed qualitative; cause gaining; constructed contributing; content analysis; contentment pride,Research Subjects
28920384,2016,159,70,114,12,66,7,74,1,25,0.1,0.6491228070175439,0.08333333333333333,0.3787878787878788,activating; decapitated; gsk3; p-gsk3; prolonged; puerarin; ser9,activating gsk3; administered month; alleviates cognitive; animals decapitated; assessed western; behavioral test; blot morris; cortex app,Isoflavones
28914035,2016,126,85,113,10,45,19,99,3,26,0.2235294117647059,0.8761061946902655,0.3,0.5777777777777777,differentially; estradiol; estrogen; ethyl; ethylacetate; extraction; extractionfrom; heat,according weight; acetate extraction; administration lasted; aimed investigate; analysis different; associated differences; brain protection; compared mice,Ovariectomy; Proteome; Rubus
28914032,2016,179,76,118,14,91,8,74,3,40,0.10526315789473684,0.6271186440677966,0.21428571428571427,0.43956043956043955,bace1; bace1proteinexpressionlevelswere; c57bl; diluted; five-month-old; hyperforin; rosiglitazone; thatas,abilities app; ability improved; ability model; ability significantly; ability tested; addition c57bl; administrated months; amyloid plaque,Aspartic Acid Endopeptidases; Phloroglucinol; Terpenes
28752156,2016,166,120,152,10,45,27,139,1,22,0.225,0.9144736842105263,0.1,0.4888888888888889,accounting; adjacent; confound; cortices; cross-validation; datasets; desirable; erc,absolute terms; accounting confound; accuracy agreement; adjacent meninges; agreement volume; algorithm cross-validation; algorithms algorithm; along adjacent,Perirhinal Cortex
28700160,2016,1,1,0,6,15,0,0,2,10,0.0,0.0,0.3333333333333333,0.6666666666666666,,,Marijuana Smoking; Materia Medica
28696645,2016,1,1,0,4,6,0,0,1,3,0.0,0.0,0.25,0.5,,,Drug Therapy
28696595,2016,59,46,55,6,15,4,41,0,4,0.08695652173913043,0.7454545454545455,0.0,0.26666666666666666,complication; non-reversible; options; well-established,access palliative; advanced stage; affected individuals; approach therapeutic; cause morbidity; common complication; complication patients; consequences affected,
28677934,2016,1,1,0,5,10,0,0,3,9,0.0,0.0,0.6,0.9,,,Drug Overdose; Marijuana Smoking; Zika Virus Infection
28671332,2017,139,91,127,16,120,11,101,2,60,0.12087912087912088,0.7952755905511811,0.125,0.5,betaine; hcy; hyperhomocysteine; il-l; memory-related; mna-sf; pp2ac; statuses,accumulation levels; activity inhibited; adas-cog significant; adas-cog suggested; aimed analyze; ameliorate memory; analyze relationship; assay western,Betaine; Hyperhomocysteinemia
28670650,2016,114,92,109,18,153,17,93,4,76,0.18478260869565216,0.8532110091743119,0.2222222222222222,0.49673202614379086,applying; computer; contrasting; convex; datasets; diverging; elucidating; hindered,accelerated type; aims characterize; alleviate shortcoming; among controls; among normal; analyses hindered; applying imaging; approach simultaneously,"Confounding Factors, Epidemiologic; Control Groups; Datasets as Topic; Diagnosis, Computer-Assisted"
28664199,2016,95,74,91,13,78,13,82,1,21,0.17567567567567569,0.9010989010989011,0.07692307692307693,0.2692307692307692,bandlimited; captures; curse; descriptors; diffeomorphisms; dimensionality; geodesic; image-based,adni database; analysis anatomical; analysis bandlimited; analysis ppga; anatomical shape; anatomical variability; approaches tangent; bandlimited low-dimensional,"Models, Statistical"
28644588,2016,103,78,98,7,21,11,83,0,5,0.14102564102564102,0.8469387755102041,0.0,0.23809523809523808,accredited; cohorts1; consensus; ensure; irish; lumbar; phospho; puncture,accepted lumbar; accredited made; amyloid total; analysis dementia; analysis support; application cerebrospinal; appropriate biomarker; available clinically,
28580458,2016,109,80,104,12,66,13,86,0,11,0.1625,0.8269230769230769,0.0,0.16666666666666666,densely; fusion; kernel-learning; kernels; lasso; modalities; penalty; redundant,according modalities; accuracy discovered; across modalities; adni database; based alzheimer; based method; based methods; clearly improved,
28558900,2017,106,77,102,12,66,8,82,2,31,0.1038961038961039,0.803921568627451,0.16666666666666666,0.4696969696969697,clathrin; clu; clusterin; indian; phosphatidylinositol; rs3851179; rs429358; rs7412,additional snps; adjusting age; apoe associated; apoe clusterin; apoe rs7412; assembly protein; associated adjusting; association apolipoprotein,Clusterin; India
28553788,2018,116,72,96,14,91,13,90,2,36,0.18055555555555555,0.9375,0.14285714285714285,0.3956043956043956,coefficients; confluence; fair; influencing; kappa; mechanism-driven; mechanistically; parsed,activity associated; activity data; activity includes; activity modifiable; activity questionnaire; age social; aging preserved; agreement correlation,Registries; Verbal Behavior
28553786,2017,96,63,86,12,66,9,74,1,24,0.14285714285714285,0.8604651162790697,0.08333333333333333,0.36363636363636365,aware; lagged; mastery; middle-aged; pervasive; practitioners; sub; summative,adult children; affect psychological; affect well-being; ages sub; among middle-aged; associated lower; aware potentially; children controls,New England
28530341,2016,120,78,111,7,21,10,92,2,13,0.1282051282051282,0.8288288288288288,0.2857142857142857,0.6190476190476191,actigraph; continually; hospitalized; multi-sensory; newest; nights; non-dominant; reads,actigraph common; actigraph reads; addition cognitive; addition pharmacological; alzheimer currently; alzheimer multi-sensory; apathy anxiety; appears onset,Anxiety Disorders; Sleep
28530001,2016,111,84,103,10,45,9,87,0,18,0.10714285714285714,0.8446601941747572,0.0,0.4,brain-wide; bw-gwa; explicitly; genome; low-rank; playing; root-mean-square; sequences,achieved performance; advances neuroimaging; among phenotypes; association bw-gwa; associations advances; associations studies; associations work; average terms,
28499566,2017,120,70,101,11,55,9,84,0,6,0.12857142857142856,0.8316831683168316,0.0,0.10909090909090909,chi-square; convenience; demographic; exposes; fisher; posttest; pretest; robinson,analysis variance; analyzed chi-square; care caregiver; care exposes; care reduce; care strain; caregiver high; caregiver strain,
28480351,2016,139,82,122,14,91,20,107,1,33,0.24390243902439024,0.8770491803278688,0.07142857142857142,0.3626373626373626,administering; amorphophallus; anesthetized; apparatus; avoidance; campanulatus; cat; concludes,ache brain; ache histopathological; action induced; administering streptozotocin; alteration behavior; alzheimer diseased; amorphophallus campanulatus; amyloid plaque,Amorphophallus
28479898,2016,211,108,166,16,120,18,138,3,69,0.16666666666666666,0.8313253012048193,0.1875,0.575,badly; bodily; destructive; factor-alpha; fects; forty; hrql; il-6,abilities activities; addition increase; adl physical; aerobic exercises; alzheimer elderly; alzheimer forty; assessment tumor; available persons,Interleukin-6; Mental Health; Tumor Necrosis Factor-alpha
28452626,2017,88,73,85,12,66,21,81,2,40,0.2876712328767123,0.9529411764705882,0.16666666666666666,0.6060606060606061,advocate; balancing; completion; conservator; conservatorship; court; court-appointed; guardian,ability manage; addresses issue; advocate enhancing; affairs case; among elders; article evaluates; article outlines; assigned permanent,Economics; Elder Abuse
28446411,2016,109,56,83,7,21,8,59,1,10,0.14285714285714285,0.7108433734939759,0.14285714285714285,0.47619047619047616,adiponectin; enzyme-linked; immunosorbent; ninety; ofad; ofadiponectin; saccording; sthan,adiponectin level; adiponectin levels; among subgroups; assay serum; associated degree; conducted patients; correlated mmse; correlation patients,Adiponectin
28413002,2017,74,53,59,14,91,14,52,8,81,0.2641509433962264,0.8813559322033898,0.5714285714285714,0.8901098901098901,germ; ipsc; karyotype; kmos; line; mononuclear; pbmcs; pluripotency,blood collected; blood mononuclear; cell ipsc; cells pbmcs; characterization human; clinically diagnosed; collected clinically; diagnosed year,Cell Differentiation; Cellular Reprogramming; Genetic Vectors; Germ Layers; Induced Pluripotent Stem Cells
28386606,2016,147,91,126,12,66,17,115,1,17,0.18681318681318682,0.9126984126984127,0.08333333333333333,0.25757575757575757,computer-assisted; exclusively; graph-based; gtl; guarantee; incorporate; iteratively; learned,accuracy address; accuracy robustness; achieve pgtl; achieved mri; address issue; approaches first; based similarities; brain disorder,Machine Learning
28382615,2016,165,123,152,5,10,28,133,1,4,0.22764227642276422,0.875,0.2,0.4,amyloidopathy; ataxic; atrophy-cerebellar; autonomic; axial; bun; cross; exerted,abilities screening; abstract thinking; additional neurotoxicity; amyloidopathy classified; amyloidopathy tauopathy; ataxic gait; atrophy hot; atrophy otherwise,Multiple System Atrophy
28382610,2016,148,117,135,6,15,36,121,2,10,0.3076923076923077,0.8962962962962963,0.3333333333333333,0.6666666666666666,acetaldehyde; acrolein; activators; adductions; alcohol; alda-1; aldas; aldehyde,acetaldehyde readily; acids lipid; acrolein acetaldehyde; activators aldas; activity aldehyde; adductions proteins; alcohol food; alda-1 reduces,"Aldehyde Dehydrogenase, Mitochondrial; Aldehydes"
28380707,2018,112,86,106,11,55,25,104,4,38,0.29069767441860467,0.9811320754716981,0.36363636363636365,0.6909090909090909,articulated; cadre; ccc; confident; creating; experiential; fidelity; fidelity-focused,achieved master; addressing serious; adherence competence; article provides; articulated model; assessments practitioners; cadre practitioners; caregiver program,"Education, Nonprofessional; Program Development; Self Efficacy; Teacher Training"
28363452,2017,306,161,267,11,55,37,253,2,33,0.22981366459627328,0.947565543071161,0.18181818181818182,0.6,ancestral; bayesian-score; bayesian-scoring; causal; checks; conservative; consistency; constraint-based,able better; accuracy find; addition dcl; addition extend; advance causal; aims developing; algorithm called; algorithm direct,Machine Learning; Patient Outcome Assessment
28341066,2017,106,65,96,8,28,7,80,1,10,0.1076923076923077,0.8333333333333334,0.125,0.35714285714285715,consensus; counseling; outperform; post-biomarker; prebiomarker; sub; workup,add-on clinical; ambiguous csf; amyloid sub; application cerebrospinal; article presents; assessment development; based available; based grading,MEDLINE
28341065,2017,91,61,85,7,21,6,75,1,7,0.09836065573770492,0.8823529411764706,0.14285714285714285,0.3333333333333333,consensus; operational; outperform; recommendation; sub; supplement,ambiguous csf; amyloid sub; application cerebrospinal; article presents; assessment development; atypical cases; based available; based grading,"Databases, Bibliographic"
28341039,2017,141,73,113,12,66,6,77,0,14,0.0821917808219178,0.6814159292035398,0.0,0.21212121212121213,assignment; bndf; confounding; correspond; kit; regardless,adjustment confounding; advanced age; age low; alterations brain-derived; analyzed elisa; assessed separately; assignment found; associated decreased,
28340952,2017,56,35,49,18,153,9,36,7,123,0.2571428571428571,0.7346938775510204,0.3888888888888889,0.803921568627451,coq2; dj1; hapa9; hspa9; mitochondria-related; mortalin; parkin; pink1,assessed genetic; association mortalin; association risk; coq2 risk; direct sequencing; diseases investigated; dj1 coq2; evidence role,Alkyl and Aryl Transferases; Genetic Variation; HSP70 Heat-Shock Proteins; Mitochondrial Proteins; PTEN-Induced Putative Kinase
28293044,2016,76,70,74,7,21,9,58,0,7,0.12857142857142856,0.7837837837837838,0.0,0.3333333333333333,adult-onset; classical; companies; expensive; mab; neuropathogenesis; pharmacologic; prototypes,adult-onset characterized; amyloid-beta immunotherapy; antibodies mab; approaches modify; article will; aspects neuropathogenesis; brain slow; characterized progressive,
28292186,2017,127,80,109,20,190,11,99,3,90,0.1375,0.908256880733945,0.15,0.47368421052631576,attracted; epitope; extensively; fancy; maybe; pe3-15; pe3-42; pe3-x,abundant patients; active immunotherapy; addition sub; aggregation addition; amyloid generates; amyloid immunotherapy; antibodies targeting; antibody response,"Amyloidogenic Proteins; Mice, Inbred BALB C; Reaction Time"
28292185,2017,152,109,135,15,105,30,124,3,72,0.27522935779816515,0.9185185185185185,0.2,0.6857142857142857,a2t; atomistic; burial; contacts; cross-interaction; dimer; dimers; engaged,a2t hetero; a2t heterodimer; a2t mutation; a2t n-terminus; a2t sub; a2t variants; aggregation toxic; alters sub,Amino Acid Substitution; Monte Carlo Method; Threonine
28286884,2016,107,75,99,10,45,18,90,0,8,0.24,0.9090909090909091,0.0,0.17777777777777778,completion; feature-selection; hampered; hyper-parameters; ignoring; implicitly; imputes; low-rank,according importance; account differences; although lrmc; always hampered; based lrmc; better account; called stability; completion incomplete,
